,type,target,index,in_c,out_c,h,batch,peak_cuda,alloc_cuda
0,int,all,0,4,0,224,1,36.75,8.13
1,int,conv,0,4,64,224,1,12.25,12.25
2,int,conv,1,64,64,224,1,12.25,12.25
3,int,conv,2,64,128,112,1,6.12,6.12
4,int,conv,3,128,128,112,1,6.12,6.12
5,int,conv,4,128,256,56,1,3.06,3.06
6,int,conv,5,256,256,56,1,3.06,3.06
7,int,conv,6,256,256,56,1,3.06,3.06
8,int,conv,7,256,512,28,1,1.53,1.53
9,int,conv,8,512,512,28,1,1.53,1.53
10,int,conv,9,512,512,28,1,1.53,1.53
11,int,conv,10,512,512,14,1,0.38,0.38
12,int,conv,11,512,512,14,1,0.38,0.38
13,int,conv,12,512,512,14,1,0.38,0.38
14,int,linear,0,25088,4096,0,1,8.16,8.14
15,int,linear,1,4096,4096,0,1,8.16,8.14
16,int,linear,2,4096,100,0,1,8.13,8.13
17,int,all,0,4,0,224,64,2352.0,8.15
18,int,conv,0,4,64,224,64,784.0,784.0
19,int,conv,1,64,64,224,64,784.0,784.0
20,int,conv,2,64,128,112,64,392.0,392.0
21,int,conv,3,128,128,112,64,392.0,392.0
22,int,conv,4,128,256,56,64,196.0,196.0
23,int,conv,5,256,256,56,64,196.0,196.0
24,int,conv,6,256,256,56,64,196.0,196.0
25,int,conv,7,256,512,28,64,98.0,98.0
26,int,conv,8,512,512,28,64,98.0,98.0
27,int,conv,9,512,512,28,64,98.0,98.0
28,int,conv,10,512,512,14,64,24.5,24.5
29,int,conv,11,512,512,14,64,24.5,24.5
30,int,conv,12,512,512,14,64,24.5,24.5
31,int,linear,0,25088,4096,0,64,10.12,9.12
32,int,linear,1,4096,4096,0,64,10.12,9.12
33,int,linear,2,4096,100,0,64,8.17,8.15
34,float,all,0,4,0,224,1,123.06,8.13
35,float,conv,0,4,64,224,1,12.25,12.25
36,float,conv,1,64,64,224,1,110.81,12.25
37,float,conv,2,64,128,112,1,44.12,6.12
38,float,conv,3,128,128,112,1,58.12,6.12
39,float,conv,4,128,256,56,1,13.69,3.06
40,float,conv,5,256,256,56,1,37.06,3.06
41,float,conv,6,256,256,56,1,37.06,3.06
42,float,conv,7,256,512,28,1,29.59,1.53
43,float,conv,8,512,512,28,1,51.53,1.53
44,float,conv,9,512,512,28,1,51.53,1.53
45,float,conv,10,512,512,14,1,38.38,0.38
46,float,conv,11,512,512,14,1,38.38,0.38
47,float,conv,12,512,512,14,1,38.38,0.38
48,float,linear,0,25088,4096,0,1,8.16,8.14
49,float,linear,1,4096,4096,0,1,8.16,8.14
50,float,linear,2,4096,100,0,1,8.13,8.13
51,float,all,0,4,0,224,64,7840.56,8.15
52,float,conv,0,4,64,224,64,784.0,784.0
53,float,conv,1,64,64,224,64,7056.56,784.0
54,float,conv,2,64,128,112,64,2746.0,392.0
55,float,conv,3,128,128,112,64,3530.25,392.0
56,float,conv,4,128,256,56,64,1376.5,196.0
57,float,conv,5,256,256,56,64,1774.0,196.0
58,float,conv,6,256,256,56,64,1774.0,196.0
59,float,conv,7,256,512,28,64,704.0,98.0
60,float,conv,8,512,512,28,64,918.0,98.0
61,float,conv,9,512,512,28,64,918.0,98.0
62,float,conv,10,512,512,14,64,256.5,24.5
63,float,conv,11,512,512,14,64,256.5,24.5
64,float,conv,12,512,512,14,64,256.5,24.5
65,float,linear,0,25088,4096,0,64,10.12,9.12
66,float,linear,1,4096,4096,0,64,10.12,9.12
67,float,linear,2,4096,100,0,64,8.17,8.15
68,torch,all,0,4,0,224,1,36.89,8.13
69,torch,conv,0,4,64,224,1,12.55,12.25
70,torch,conv,1,64,64,224,1,24.64,12.25
71,torch,conv,2,64,128,112,1,9.47,6.12
72,torch,conv,3,128,128,112,1,18.94,6.12
73,torch,conv,4,128,256,56,1,8.78,3.06
74,torch,conv,5,256,256,56,1,11.44,3.06
75,torch,conv,6,256,256,56,1,11.44,3.06
76,torch,conv,7,256,512,28,1,10.08,1.53
77,torch,conv,8,512,512,28,1,15.53,1.53
78,torch,conv,9,512,512,28,1,15.53,1.53
79,torch,conv,10,512,512,14,1,10.27,0.38
80,torch,conv,11,512,512,14,1,10.27,0.38
81,torch,conv,12,512,512,14,1,10.27,0.38
82,torch,linear,0,25088,4096,0,1,9.14,8.14
83,torch,linear,1,4096,4096,0,1,9.14,8.14
84,torch,linear,2,4096,100,0,1,9.13,8.13
85,torch,all,0,4,0,224,64,1568.39,8.15
86,torch,conv,0,4,64,224,64,784.3,784.0
87,torch,conv,1,64,64,224,64,784.39,784.0
88,torch,conv,2,64,128,112,64,588.28,392.0
89,torch,conv,3,128,128,112,64,784.56,392.0
90,torch,conv,4,128,256,56,64,296.0,196.0
91,torch,conv,5,256,256,56,64,394.25,196.0
92,torch,conv,6,256,256,56,64,394.25,196.0
93,torch,conv,7,256,512,28,64,446.75,98.0
94,torch,conv,8,512,512,28,64,206.0,98.0
95,torch,conv,9,512,512,28,64,206.0,98.0
96,torch,conv,10,512,512,14,64,58.5,24.5
97,torch,conv,11,512,512,14,64,58.5,24.5
98,torch,conv,12,512,512,14,64,58.5,24.5
99,torch,linear,0,25088,4096,0,64,10.12,9.12
100,torch,linear,1,4096,4096,0,64,10.12,9.12
101,torch,linear,2,4096,100,0,64,9.15,8.15
