,type,target,index,in_c,out_c,h,batch,cpu_conti,cpu_x,gpu_conti,gpu_x,total
0,int,all,0,4,0,224,1,4.66847,4.89885,4.66254,4.93029,4.68076
1,int,conv,0,4,64,224,1,0.03373,0.07222,0.03476,0.06593,0.03937
2,int,conv,1,64,64,224,1,0.32163,0.55482,0.32258,0.5476,0.32003
3,int,conv,2,64,128,112,1,0.25788,0.41591,0.25815,0.40824,0.26287
4,int,conv,3,128,128,112,1,0.43143,0.65668,0.41115,0.65078,0.41045
5,int,conv,4,128,256,56,1,0.25757,0.4727,0.25786,0.47109,0.26314
6,int,conv,5,256,256,56,1,0.43508,0.64275,0.41963,0.63573,0.42052
7,int,conv,6,256,256,56,1,0.42837,0.64581,0.42023,0.63474,0.42085
8,int,conv,7,256,512,28,1,0.28968,0.52516,0.26277,0.51841,0.2654
9,int,conv,8,512,512,28,1,0.52585,0.77896,0.5125,0.76792,0.51847
10,int,conv,9,512,512,28,1,0.54172,0.77796,0.51277,0.76768,0.51559
11,int,conv,10,512,512,14,1,0.25702,0.48568,0.25692,0.48239,0.26408
12,int,conv,11,512,512,14,1,0.25867,0.48996,0.25819,0.48517,0.26625
13,int,conv,12,512,512,14,1,0.25575,0.48695,0.25515,0.48225,0.26067
14,int,linear,0,25088,4096,0,1,0.31846,0.32588,0.31211,0.31674,0.31391
15,int,linear,1,4096,4096,0,1,0.05804,0.07607,0.05945,0.06597,0.05716
16,int,linear,2,4096,100,0,1,0.03111,0.04881,0.03403,0.04291,0.02909
17,int,all,0,4,0,224,64,225.8514,228.0945,226.51094,240.35401,240.4112
18,int,conv,0,4,64,224,64,1.96387,1.89387,1.91765,1.67447,2.04657
19,int,conv,1,64,64,224,64,21.6957,21.39112,21.07157,21.39195,20.86078
20,int,conv,2,64,128,112,64,10.48141,10.58364,10.46274,10.46616,10.46603
21,int,conv,3,128,128,112,64,26.48969,26.95925,26.5837,25.54135,25.63493
22,int,conv,4,128,256,56,64,12.45191,12.79919,12.49192,12.71301,12.52046
23,int,conv,5,256,256,56,64,25.01904,25.26998,24.98864,25.74554,27.02274
24,int,conv,6,256,256,56,64,25.00179,25.23026,24.97575,25.7832,25.07611
25,int,conv,7,256,512,28,64,12.3918,12.60009,12.47649,12.52183,12.4029
26,int,conv,8,512,512,28,64,25.03906,25.28212,25.09073,25.26655,25.11737
27,int,conv,9,512,512,28,64,25.0717,25.33445,25.88186,26.37458,26.08785
28,int,conv,10,512,512,14,64,6.22217,6.81396,6.72159,6.38932,6.65986
29,int,conv,11,512,512,14,64,6.64057,6.90554,6.69381,6.37883,6.64057
30,int,conv,12,512,512,14,64,6.68862,6.47484,6.69724,6.6668,6.49289
31,int,linear,0,25088,4096,0,64,0.4891,0.50695,0.49312,0.50246,0.49221
32,int,linear,1,4096,4096,0,64,0.09512,0.10573,0.08884,0.10404,0.08824
33,int,linear,2,4096,100,0,64,0.0193,0.03223,0.01937,0.03724,0.02403
34,float,all,0,4,0,224,1,2.45196,2.60816,2.46648,2.61016,2.46438
35,float,conv,0,4,64,224,1,0.03612,0.07326,0.03703,0.07364,0.04186
36,float,conv,1,64,64,224,1,0.16764,0.31289,0.16062,0.31221,0.16536
37,float,conv,2,64,128,112,1,0.13146,0.20956,0.12243,0.20831,0.1223
38,float,conv,3,128,128,112,1,0.16971,0.27439,0.15073,0.27097,0.15328
39,float,conv,4,128,256,56,1,0.13581,0.22166,0.13507,0.21327,0.1431
40,float,conv,5,256,256,56,1,0.16216,0.2459,0.15582,0.24584,0.14752
41,float,conv,6,256,256,56,1,0.16227,0.25043,0.14727,0.24883,0.14742
42,float,conv,7,256,512,28,1,0.1269,0.19728,0.10988,0.18915,0.10991
43,float,conv,8,512,512,28,1,0.21519,0.28613,0.20073,0.28423,0.20187
44,float,conv,9,512,512,28,1,0.22592,0.28859,0.20094,0.28341,0.20194
45,float,conv,10,512,512,14,1,0.12513,0.23711,0.11922,0.24401,0.12518
46,float,conv,11,512,512,14,1,0.12481,0.23018,0.11634,0.22948,0.12376
47,float,conv,12,512,512,14,1,0.12502,0.23087,0.11741,0.23111,0.1249
48,float,linear,0,25088,4096,0,1,0.51552,0.52167,0.50793,0.52071,0.50536
49,float,linear,1,4096,4096,0,1,0.08839,0.10336,0.08651,0.10159,0.08627
50,float,linear,2,4096,100,0,1,0.01482,0.02855,0.01495,0.03302,0.01888
51,float,all,0,4,0,224,64,79.02373,79.56937,79.31795,79.40688,79.29963
52,float,conv,0,4,64,224,64,2.15566,2.17997,2.16358,2.17211,2.15653
53,float,conv,1,64,64,224,64,9.36512,9.51805,9.40676,9.52001,9.40355
54,float,conv,2,64,128,112,64,5.07366,5.16321,5.07661,5.14965,5.08671
55,float,conv,3,128,128,112,64,8.706,8.82778,8.73524,8.82716,8.74771
56,float,conv,4,128,256,56,64,4.13874,4.21541,4.14164,4.21833,4.15146
57,float,conv,5,256,256,56,64,7.56024,7.65313,7.58306,7.67588,7.58943
58,float,conv,6,256,256,56,64,7.5922,7.66764,7.59482,7.65576,7.59024
59,float,conv,7,256,512,28,64,3.50102,3.6244,3.52279,3.61824,3.51714
60,float,conv,8,512,512,28,64,7.10219,7.20689,7.13266,7.21025,7.13745
61,float,conv,9,512,512,28,64,7.12863,7.20606,7.14087,7.21573,7.15919
62,float,conv,10,512,512,14,64,1.80598,1.88007,1.80874,1.87138,1.80441
63,float,conv,11,512,512,14,64,1.80162,1.88201,1.80982,1.87613,1.81007
64,float,conv,12,512,512,14,64,1.80227,1.88308,1.80961,1.87008,1.80509
65,float,linear,0,25088,4096,0,64,0.86401,0.88599,0.87713,0.88046,0.8776
